idPersonne,idKeyWord,dateAssociation,sigleLabo,nomLabo,codePostal,siteWeb
1850,59,2023-03-13 09:58:54,IBISC,Informatique Biologie Intégrative et Systèmes Complexes,91020,https://www.google.com/
1850,45,2023-03-13 09:58:54,IBISC,Informatique Biologie Intégrative et Systèmes Complexes,91020,https://www.google.com/
1850,42,2023-03-13 09:58:54,IBISC,Informatique Biologie Intégrative et Systèmes Complexes,91020,https://www.google.com/
1850,38,2023-03-13 09:58:54,IBISC,Informatique Biologie Intégrative et Systèmes Complexes,91020,https://www.google.com/
1850,35,2023-03-13 09:58:54,IBISC,Informatique Biologie Intégrative et Systèmes Complexes,91020,https://www.google.com/
1850,62,2023-03-13 09:58:54,IBISC,Informatique Biologie Intégrative et Systèmes Complexes,91020,https://www.google.com/
5208,8,2023-03-13 10:05:15,LS2N,Laboratoire des Sciences du Numérique de Nantes,44321,https://www.google.com/
5208,5,2023-03-13 10:05:15,LS2N,Laboratoire des Sciences du Numérique de Nantes,44321,https://www.google.com/
5208,4,2023-03-13 10:05:15,LS2N,Laboratoire des Sciences du Numérique de Nantes,44321,https://www.google.com/
5208,51,2023-03-13 10:05:15,LS2N,Laboratoire des Sciences du Numérique de Nantes,44321,https://www.google.com/
5208,56,2023-03-13 10:05:15,LS2N,Laboratoire des Sciences du Numérique de Nantes,44321,https://www.google.com/
899,56,2023-03-13 10:09:51,CReSTIC,Centre de Recherche en Sciences et Technologies de l'Information et de la Communication,51687,https://www.google.com/
899,45,2023-03-13 10:09:51,CReSTIC,Centre de Recherche en Sciences et Technologies de l'Information et de la Communication,51687,https://www.google.com/
899,38,2023-03-13 10:09:51,CReSTIC,Centre de Recherche en Sciences et Technologies de l'Information et de la Communication,51687,https://www.google.com/
7115,39,2023-03-13 10:19:56,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
7115,38,2023-03-13 10:19:56,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
7115,45,2023-03-13 10:19:56,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
7115,56,2023-03-13 10:19:56,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
462,38,2023-03-13 10:26:47,XLIM,XLIM,86962,https://www.google.com/
462,42,2023-03-13 10:26:47,XLIM,XLIM,86962,https://www.google.com/
6615,56,2023-03-13 10:40:28,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
6615,39,2023-03-13 10:40:28,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
6615,38,2023-03-13 10:40:28,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
6615,5,2023-03-13 10:40:28,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
7438,3,2023-03-13 10:41:00,LTCI,Laboratoire de Traitement et Communication de l'Information,91120,https://www.google.com/
7438,39,2023-03-13 10:41:00,LTCI,Laboratoire de Traitement et Communication de l'Information,91120,https://www.google.com/
7438,43,2023-03-13 10:41:00,LTCI,Laboratoire de Traitement et Communication de l'Information,91120,https://www.google.com/
7099,39,2023-03-13 11:10:49,AAU-CRENAU,"Ambiances, Architectures, Urbanités - Centre de Recherche Nantais Architectures Urbanités",44262,https://www.google.com/
7099,45,2023-03-13 11:10:49,AAU-CRENAU,"Ambiances, Architectures, Urbanités - Centre de Recherche Nantais Architectures Urbanités",44262,https://www.google.com/
6692,38,2023-03-13 11:23:35,Lab-STICC,Laboratoire des Sciences et Techniques de l'Information de la Communication et de la Connaissance,29238,https://www.google.com/
6692,39,2023-03-13 11:23:35,Lab-STICC,Laboratoire des Sciences et Techniques de l'Information de la Communication et de la Connaissance,29238,https://www.google.com/
6692,41,2023-03-13 11:23:35,Lab-STICC,Laboratoire des Sciences et Techniques de l'Information de la Communication et de la Connaissance,29238,https://www.google.com/
6692,44,2023-03-13 11:23:35,Lab-STICC,Laboratoire des Sciences et Techniques de l'Information de la Communication et de la Connaissance,29238,https://www.google.com/
6692,59,2023-03-13 11:23:35,Lab-STICC,Laboratoire des Sciences et Techniques de l'Information de la Communication et de la Connaissance,29238,https://www.google.com/
8291,61,2023-03-13 11:38:10,LS2N,Laboratoire des Sciences du Numérique de Nantes,44321,https://www.google.com/
836,5,2023-03-13 12:55:01,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
836,43,2023-03-13 12:55:01,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
836,44,2023-03-13 12:55:01,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
836,56,2023-03-13 12:55:01,CREATIS,Centre de recherche en imagerie médicale,69621,https://www.google.com/
2358,5,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
2358,7,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
2358,39,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
2358,40,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
2358,41,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
2358,42,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
2358,46,2023-03-13 13:58:52,SAFRAN,SAFRAN,95101,https://www.google.com/
