idField,field
1,Théorie et Méthodes
2,Apprentissage Machine
3,Télécommunications
4,Codage et sécurité multimédia
5,"Adéquation algorithme-architecture, traitements embarqués"
6,"Audio, vision, perception"
7,"Fusion, multimodalité, réseaux de capteurs, traitement multicanal"
8,Imagerie computationnelle
9,Autres
